Common garden,Provenance,R (bloc no),Longitude,Latitude,Plot size in meters,Stem survival-1976,Stem survival-1977,Stem survival-1978,Stem survival-1979,Stem survival-1980,Stem survival-1981,Stem survival-1982,Stem survival-1983,Stem survival-1984,Stem survival-1985,Stem survival-1986,Stem survival-1987,Stem survival-1988,Stem survival-1989,Stem survival-1990,Stem survival-1991,Stem survival-1992,Stem survival-1993,Stem survival-1994,Stem survival-1995,Stem survival-1996,Stem survival-1997,Stem survival-1998,Stem survival-1999,Stem survival-2000,Stem survival-2001,Stem survival-2002,Stem survival-2003,Stem survival-2004,Stem survival-2005,Stem survival-2006,Stem survival-2007,Stem survival-2008,Stem survival-2009,Stem survival-2010,Stem survival-2011,Stem survival-2012,Stem survival-2013,Stem survival-2014,Stem survival-2015,Stem survival-2016,Stem survival-2017,NPP-1976,NPP-1977,NPP-1978,NPP-1979,NPP-1980,NPP-1981,NPP-1982,NPP-1983,NPP-1984,NPP-1985,NPP-1986,NPP-1987,NPP-1988,NPP-1989,NPP-1990,NPP-1991,NPP-1992,NPP-1993,NPP-1994,NPP-1995,NPP-1996,NPP-1997,NPP-1998,NPP-1999,NPP-2000,NPP-2001,NPP-2002,NPP-2003,NPP-2004,NPP-2005,NPP-2006,NPP-2007,NPP-2008,NPP-2009,NPP-2010,NPP-2011,NPP-2012,NPP-2013,NPP-2014,NPP-2015,NPP-2016
Chibougamau,345,4,-69.13333333,48.93333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0.001634452,0.005127464,0.01286277,0.02852237,0.043089961,0.054921119,0.079792576,0.104546991,0.129585106,0.150264392,0.152165902,0.149852838,0.189833673,0.172497923,0.224996136,0.236971694,0.228494177,0.215103633,0.220525692,0.215716569,0.241845325,0.220743746,0.217097654,0.203613771,0.19829906,0.249612932,0.23925078,0.235188106,0.200232043,0.209760082,0.210662628,0.189042148,0.185508403,0.151128859,0.162531912,0.138820702
Chibougamau,345,5,-69.13333333,48.93333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0,0.001518928,0.003895268,0.00781699,0.022077279,0.021836995,0.029918144,0.043756691,0.051815077,0.059196317,0.074469122,0.065400723,0.087140797,0.082645889,0.096974988,0.107954644,0.124789571,0.113588221,0.137648832,0.139646502,0.154303803,0.158282276,0.150739658,0.156027414,0.16482839,0.169926075,0.172758876,0.171275596,0.148236596,0.159775911,0.172068602,0.161529422,0.171805817,0.139619011,0.166461265,0.166619269
Chibougamau,352,3,-71.3,49.6,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,na,na,0,0,0.002063255,0.003611103,0.003807606,0.009977194,0.024657032,0.031100828,0.044051727,0.064482621,0.084685833,0.113043876,0.121551936,0.133342935,0.120811842,0.159042187,0.15127545,0.193558289,0.198166049,0.21603707,0.189098048,0.18850351,0.161954412,0.20112223,0.17108391,0.18023938,0.165282139,0.161771379,0.209175256,0.218888692,0.184053906,0.153945923,0.190131512,0.185602178,0.19206989,0.178527611,0.129675365,0.145774626,0.157329072
Chibougamau,352,4,-71.3,49.6,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,na,na,0,0,0,0,0.002747629,0.002686143,0.007591264,0.017395569,0.025836264,0.039247932,0.052090071,0.071835198,0.074277757,0.092689307,0.087086192,0.109997888,0.109212134,0.135279156,0.16042068,0.167654507,0.153197995,0.163643555,0.15894264,0.16451557,0.154810443,0.156761163,0.142127154,0.151979408,0.18033556,0.162274286,0.143037875,0.112558731,0.122110946,0.118185913,0.091265742,0.091513566,0.073103198,0.074040261,0.063911524
Chibougamau,352,5,-71.3,49.6,92.16,na,na,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,na,na,0,0,0,0.001633313,0.003554258,0.009093559,0.020760936,0.030448198,0.04906794,0.075097721,0.087734914,0.103183729,0.096897836,0.115193002,0.105129711,0.14187857,0.148037115,0.209425722,0.240711321,0.244032952,0.255565345,0.264430801,0.239348405,0.241164931,0.23966369,0.19968492,0.236194559,0.224674998,0.275061194,0.230613861,0.189098797,0.155160526,0.153654494,0.150807826,0.13304183,0.121219804,0.094597831,0.096508177,0.086089757
Chibougamau,355,3,-63.36666667,49.63333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0,0.002318084,0.007743159,0.02703117,0.031829857,0.04547428,0.067840071,0.084040431,0.108061947,0.114785335,0.13550015,0.121571922,0.169919046,0.146136607,0.180591488,0.196140169,0.186362266,0.159496636,0.172033075,0.155251125,0.157627571,0.175462079,0.145430537,0.14832073,0.134373429,0.141304978,0.150270002,0.127037308,0.125711005,0.122365691,0.160681348,0.141710636,0.146279831,0.115290668,0.126746641,0.132760099
Chibougamau,355,4,-63.36666667,49.63333333,92.16,na,na,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,na,na,0,0,0.002483496,0.004565586,0.00752626,0.014311552,0.022789068,0.026773748,0.039838833,0.049095471,0.059594279,0.076933889,0.083381197,0.100907265,0.098211855,0.119448876,0.099034231,0.130464184,0.121777623,0.134057441,0.115544647,0.118399022,0.111931678,0.117464834,0.126208135,0.119185186,0.110990693,0.109001557,0.118784844,0.113504712,0.106703347,0.075844189,0.061273031,0.079156575,0.072835694,0.081798833,0.057302877,0.054863225,0.057880656
Chibougamau,355,5,-63.36666667,49.63333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0.001911035,0.001744754,0.005606804,0.009476133,0.014485628,0.020309044,0.035549234,0.043565663,0.055364671,0.068045973,0.073420546,0.067896517,0.098680432,0.099652674,0.126199248,0.150431599,0.154546247,0.134810994,0.132865037,0.139884629,0.139020717,0.148618685,0.12002592,0.11334503,0.109537145,0.121762558,0.132612003,0.113407336,0.095092304,0.095521613,0.113687687,0.111883663,0.111953815,0.087392261,0.106140464,0.114066452
Chibougamau,369,3,-64.65,48.88333333,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,na,na,0,0,0,0,0.001082937,0.002969672,0.006779679,0.012155187,0.019552917,0.02626531,0.032945155,0.049275604,0.056462107,0.075316843,0.075183145,0.107787558,0.1012131,0.139039601,0.167618287,0.179515059,0.157726378,0.165076669,0.168947289,0.162714376,0.146975449,0.108555067,0.096219108,0.101166117,0.118526512,0.124735729,0.125965418,0.090643139,0.103338603,0.09051535,0.104670612,0.104433005,0.07682534,0.077615139,0.078158858
Chibougamau,369,4,-64.65,48.88333333,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,na,na,0,0,0,0,0.002092653,0.008612704,0.026042308,0.046407716,0.075971482,0.115294208,0.140328391,0.189870876,0.197500891,0.228231976,0.202817643,0.214420826,0.194847009,0.262598405,0.295166467,0.268070482,0.237290359,0.259913405,0.249654882,0.263175107,0.291588894,0.262468522,0.257357567,0.272607667,0.277882557,0.275990142,0.268984989,0.201726025,0.203003051,0.22196676,0.176257273,0.194902646,0.141394056,0.151101505,0.15427992
