Common garden,Prov,Bloc,MATp,MAPp,GDD5p,Latitude,Longitude,sf1,sf2,sf3,sf4,sf5,Geno_EST.pb,Geno_OUEST.pb,Geno_CENTRE.pb
Mont-Laurier,345,6,1.995596667,1010.889023,1318.04984,48.93333333,-69.13333333,-0.152329375,0.0726112,-0.158869236,0.108584999,0.037889149,0.738833333,0.008,0.253166667
Mont-Laurier,352,3,0.202416667,970.5139,1176.207997,49.6,-71.3,-0.117944761,0.147518288,-0.146750872,0.008146068,0.184142937,0.7264,0.0098,0.2636
Mont-Laurier,352,4,0.202416667,970.5139,1176.207997,49.6,-71.3,-0.117944761,0.147518288,-0.146750872,0.008146068,0.184142937,0.5445,0.022166667,0.433166667
Mont-Laurier,352,6,0.202416667,970.5139,1176.207997,49.6,-71.3,-0.117944761,0.147518288,-0.146750872,0.008146068,0.184142937,0.801166667,0.018666667,0.18
Mont-Laurier,355,3,1.56419,1011.861633,1005.684563,49.63333333,-63.36666667,-0.170830622,-0.143679305,0.067660816,0.06268516,-0.071264354,0.656166667,0.071166667,0.272666667
Mont-Laurier,355,4,1.56419,1011.861633,1005.684563,49.63333333,-63.36666667,-0.170830622,-0.143679305,0.067660816,0.06268516,-0.071264354,0.616333333,0.041833333,0.341833333
Mont-Laurier,355,6,1.56419,1011.861633,1005.684563,49.63333333,-63.36666667,-0.170830622,-0.143679305,0.067660816,0.06268516,-0.071264354,0.6815,0.009,0.309666667
Mont-Laurier,369,3,2.409846667,1087.671187,1208.57766,48.88333333,-64.65,-0.177241399,-0.10522193,0.002801462,0.118422138,-0.132679235,0.6175,0.046333333,0.336
Mont-Laurier,369,4,2.409846667,1087.671187,1208.57766,48.88333333,-64.65,-0.177241399,-0.10522193,0.002801462,0.118422138,-0.132679235,0.8125,0.005,0.1825
Mont-Laurier,369,6,2.409846667,1087.671187,1208.57766,48.88333333,-64.65,-0.177241399,-0.10522193,0.002801462,0.118422138,-0.132679235,0.861833333,0.0325,0.105833333
Mont-Laurier,1329,3,5.749463333,1085.45342,1682.00516,46.05,-62.85,-0.166717851,-0.153560895,0.080254853,0.066244314,-0.141799673,0.844333333,0.0425,0.113333333
Mont-Laurier,1329,4,5.749463333,1085.45342,1682.00516,46.05,-62.85,-0.166717851,-0.153560895,0.080254853,0.066244314,-0.141799673,0.882333333,0.01,0.1075
Mont-Laurier,1329,6,5.749463333,1085.45342,1682.00516,46.05,-62.85,-0.166717851,-0.153560895,0.080254853,0.066244314,-0.141799673,0.505,0.020333333,0.4745
Mont-Laurier,1528,3,3.10193,1203.706797,1412.137333,46.83333333,-67.16666667,-0.170355844,-0.009168465,-0.114064072,0.168355787,-0.161195636,0.582333333,0.013333333,0.404666667
Mont-Laurier,1528,4,3.10193,1203.706797,1412.137333,46.83333333,-67.16666667,-0.170355844,-0.009168465,-0.114064072,0.168355787,-0.161195636,0.746333333,0.009666667,0.243666667
Mont-Laurier,1528,6,3.10193,1203.706797,1412.137333,46.83333333,-67.16666667,-0.170355844,-0.009168465,-0.114064072,0.168355787,-0.161195636,0.642666667,0.005166667,0.352166667
Mont-Laurier,1530,3,5.427856667,1558.34205,1416.84228,45.93333333,-60.16666667,-0.151938774,-0.208804614,0.180337844,-0.035304899,-0.020200679,0.609666667,0.038333333,0.351666667
Mont-Laurier,1530,4,5.427856667,1558.34205,1416.84228,45.93333333,-60.16666667,-0.151938774,-0.208804614,0.180337844,-0.035304899,-0.020200679,0.828333333,0.009166667,0.1625
Mont-Laurier,1530,6,5.427856667,1558.34205,1416.84228,45.93333333,-60.16666667,-0.151938774,-0.208804614,0.180337844,-0.035304899,-0.020200679,0.917,0.011,0.071833333
Mont-Laurier,1531,3,5.077593333,1226.900423,1613.405057,45.58333333,-66.48333333,-0.164563873,-0.036266074,-0.07616597,0.150931708,-0.191219508,0.907666667,0.009666667,0.082333333
Mont-Laurier,1531,4,5.077593333,1226.900423,1613.405057,45.58333333,-66.48333333,-0.164563873,-0.036266074,-0.07616597,0.150931708,-0.191219508,0.774166667,0.009833333,0.216166667
Mont-Laurier,1531,6,5.077593333,1226.900423,1613.405057,45.58333333,-66.48333333,-0.164563873,-0.036266074,-0.07616597,0.150931708,-0.191219508,0.7475,0.011,0.2415
Mont-Laurier,1534,3,2.715533333,1072.569923,1440.127243,47.7,-68.31666667,-0.163359503,0.039055971,-0.150211046,0.149969889,-0.069582801,0.871,0.018666667,0.1105
Mont-Laurier,1534,4,2.715533333,1072.569923,1440.127243,47.7,-68.31666667,-0.163359503,0.039055971,-0.150211046,0.149969889,-0.069582801,0.813,0.035,0.152166667
Mont-Laurier,1534,6,2.715533333,1072.569923,1440.127243,47.7,-68.31666667,-0.163359503,0.039055971,-0.150211046,0.149969889,-0.069582801,0.460666667,0.006166667,0.533333333
Mont-Laurier,1538,3,4.20385,1103.621453,1514.651263,47.75,-65.11666667,-0.178928012,-0.088458144,-0.025726984,0.144565864,-0.175870558,0.885833333,0.0085,0.105833333
Mont-Laurier,1538,4,4.20385,1103.621453,1514.651263,47.75,-65.11666667,-0.178928012,-0.088458144,-0.025726984,0.144565864,-0.175870558,0.8995,0.003166667,0.097166667
Mont-Laurier,1538,6,4.20385,1103.621453,1514.651263,47.75,-65.11666667,-0.178928012,-0.088458144,-0.025726984,0.144565864,-0.175870558,0.708,0.016333333,0.275833333
Mont-Laurier,3268,3,5.625663333,819.5914433,2021.201353,44.21666667,-90.36666667,0.196400578,-0.020337545,0.089115453,0.185592375,-0.011693794,0.159833333,0.0255,0.814833333
Mont-Laurier,3268,4,5.625663333,819.5914433,2021.201353,44.21666667,-90.36666667,0.196400578,-0.020337545,0.089115453,0.185592375,-0.011693794,0.210166667,0.034833333,0.754833333
Mont-Laurier,3268,6,5.625663333,819.5914433,2021.201353,44.21666667,-90.36666667,0.196400578,-0.020337545,0.089115453,0.185592375,-0.011693794,0.151333333,0.168666667,0.680166667
Mont-Laurier,4277,3,4.280143333,800.57065,1722.29185,45.73333333,-88.98333333,0.198650384,0.010744865,0.128396753,0.188837407,-0.051335857,0.096166667,0.016333333,0.8875
Mont-Laurier,4277,4,4.280143333,800.57065,1722.29185,45.73333333,-88.98333333,0.198650384,0.010744865,0.128396753,0.188837407,-0.051335857,0.291333333,0.010666667,0.697833333
Mont-Laurier,4277,6,4.280143333,800.57065,1722.29185,45.73333333,-88.98333333,0.198650384,0.010744865,0.128396753,0.188837407,-0.051335857,0.115,0.006833333,0.878
Mont-Laurier,4344,3,4.541763333,844.71602,1860.70296,46.11666667,-90.93333333,0.216125791,-0.036980794,0.064975691,0.211989759,0.049089948,0.215666667,0.013166667,0.771166667
Mont-Laurier,4344,4,4.541763333,844.71602,1860.70296,46.11666667,-90.93333333,0.216125791,-0.036980794,0.064975691,0.211989759,0.049089948,0.370833333,0.0155,0.614
Mont-Laurier,4344,6,4.541763333,844.71602,1860.70296,46.11666667,-90.93333333,0.216125791,-0.036980794,0.064975691,0.211989759,0.049089948,0.1515,0.015333333,0.833333333
Mont-Laurier,4351,3,5.275986667,844.83195,1747.75002,46.05,-84.78333333,0.141920259,0.120005633,0.202006175,0.036459914,-0.219497171,0.203166667,0.0395,0.757333333
Mont-Laurier,4351,4,5.275986667,844.83195,1747.75002,46.05,-84.78333333,0.141920259,0.120005633,0.202006175,0.036459914,-0.219497171,0.2288,0.006,0.7654
Mont-Laurier,4351,6,5.275986667,844.83195,1747.75002,46.05,-84.78333333,0.141920259,0.120005633,0.202006175,0.036459914,-0.219497171,0.306,0.0135,0.680166667
