Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Chibougamau,Prov6979,s(Year):as.factor(Bloc)4Fx1,0.444839397,0.183563233,96,2.423357826,0.017251759,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6979,s(Year):as.factor(Bloc)5Fx1,0.436346446,0.184061623,96,2.370654127,0.019755035,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6986,(Intercept),-0.001952351,0.161142225,96,-0.012115701,0.990358449,X(Intercept)
Chibougamau,Prov6986,prevSummerTemp,0.000584066,0.001334038,96,0.437818121,0.662501624,XprevSummerTemp
Chibougamau,Prov6986,prevFallTemp,-0.000452097,0.000921415,96,-0.490654605,0.624790426,XprevFallTemp
Chibougamau,Prov6986,WinterTemp,0.000807583,0.00054477,96,1.482429244,0.14150145,XWinterTemp
Chibougamau,Prov6986,SpringTemp,-0.000869845,0.000661796,96,-1.314368866,0.191853818,XSpringTemp
Chibougamau,Prov6986,SummerTemp,0.0007178,0.001288835,96,0.556936885,0.578866674,XSummerTemp
Chibougamau,Prov6986,FallTemp,-0.000776815,0.000942923,96,-0.823836906,0.412074284,XFallTemp
Chibougamau,Prov6986,prevSummerSMI,-0.000638449,0.000384699,96,-1.659605165,0.100257331,XprevSummerSMI
Chibougamau,Prov6986,prevFallSMI,-0.000461465,0.001115232,96,-0.413783785,0.679955419,XprevFallSMI
Chibougamau,Prov6986,Snowfall,2.77E-07,1.87E-05,96,0.014827258,0.988200764,XSnowfall
Chibougamau,Prov6986,SpringSMI,-0.000133501,0.000315252,96,-0.423475801,0.672895411,XSpringSMI
Chibougamau,Prov6986,SummerSMI,-0.000916523,0.000469261,96,-1.953122693,0.053716807,XSummerSMI
Chibougamau,Prov6986,FallSMI,0.00204682,0.000991039,96,2.065328308,0.041587102,XFallSMI
Chibougamau,Prov6986,totalC:as.factor(Bloc)3,0.068739179,0.056043087,96,1.226541615,0.222994776,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6986,totalC:as.factor(Bloc)4,0.062025637,0.016298435,96,3.805619306,0.00024898,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6986,totalC:as.factor(Bloc)5,0.066053798,0.052806801,96,1.250857777,0.21402636,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6986,s(Year):as.factor(Bloc)3Fx1,0.075487973,0.080964169,96,0.932362731,0.353488083,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6986,s(Year):as.factor(Bloc)4Fx1,0.204971239,0.077844702,96,2.633078839,0.009862222,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6986,s(Year):as.factor(Bloc)5Fx1,0.077540252,0.077936595,96,0.994914548,0.322278985,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov7000,(Intercept),0.249151748,0.171257388,96,1.454837955,0.148976167,X(Intercept)
Chibougamau,Prov7000,prevSummerTemp,-0.000107149,0.001405695,96,-0.076225019,0.939398709,XprevSummerTemp
Chibougamau,Prov7000,prevFallTemp,-0.001277988,0.000915499,96,-1.395946296,0.165950665,XprevFallTemp
Chibougamau,Prov7000,WinterTemp,0.000689807,0.000592574,96,1.164086619,0.24727381,XWinterTemp
Chibougamau,Prov7000,SpringTemp,-0.001359391,0.000697618,96,-1.948616653,0.054260915,XSpringTemp
Chibougamau,Prov7000,SummerTemp,0.002501988,0.001353803,96,1.848118298,0.067663876,XSummerTemp
Chibougamau,Prov7000,FallTemp,-0.000483848,0.00095737,96,-0.505392945,0.61444126,XFallTemp
Chibougamau,Prov7000,prevSummerSMI,-0.000132626,0.000408083,96,-0.324998915,0.745889091,XprevSummerSMI
Chibougamau,Prov7000,prevFallSMI,-0.002906968,0.001195945,96,-2.430686554,0.016927026,XprevFallSMI
Chibougamau,Prov7000,Snowfall,-7.79E-07,2.06E-05,96,-0.037791268,0.969932583,XSnowfall
Chibougamau,Prov7000,SpringSMI,-2.69E-05,0.000346346,96,-0.07770899,0.938221279,XSpringSMI
Chibougamau,Prov7000,SummerSMI,-0.000253531,0.000484912,96,-0.522839906,0.602290282,XSummerSMI
Chibougamau,Prov7000,FallSMI,0.000172932,0.001037289,96,0.166715139,0.86794484,XFallSMI
Chibougamau,Prov7000,totalC:as.factor(Bloc)3,0.111471856,0.061918253,96,1.800306872,0.074952824,XtotalC:as.factor(Bloc)3
Chibougamau,Prov7000,totalC:as.factor(Bloc)4,0.109092817,0.053621305,96,2.03450507,0.044658644,XtotalC:as.factor(Bloc)4
Chibougamau,Prov7000,totalC:as.factor(Bloc)5,0.079690486,0.025751411,96,3.094606525,0.002582153,XtotalC:as.factor(Bloc)5
Chibougamau,Prov7000,s(Year):as.factor(Bloc)3Fx1,0.197930829,0.120894234,96,1.637223067,0.104857917,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov7000,s(Year):as.factor(Bloc)4Fx1,0.21476256,0.127904815,96,1.679081119,0.096388345,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov7000,s(Year):as.factor(Bloc)5Fx1,0.303906433,0.117976633,96,2.57598837,0.011520017,Xs(Year):as.factor(Bloc)5Fx1
