Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Chibougamau,Prov6927,s(Year):as.factor(Bloc)5Fx1,0.34427123,0.176654375,96,1.948840662,0.054233756,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6930,(Intercept),-0.102093917,0.206484077,96,-0.494439659,0.622125293,X(Intercept)
Chibougamau,Prov6930,prevSummerTemp,0.00115436,0.001606093,96,0.718737841,0.474048249,XprevSummerTemp
Chibougamau,Prov6930,prevFallTemp,-0.000468303,0.001029571,96,-0.454852545,0.650242258,XprevFallTemp
Chibougamau,Prov6930,WinterTemp,0.00070008,0.000668154,96,1.047781049,0.297370317,XWinterTemp
Chibougamau,Prov6930,SpringTemp,-0.000306297,0.000786064,96,-0.389659271,0.697651628,XSpringTemp
Chibougamau,Prov6930,SummerTemp,0.003345004,0.001524906,96,2.193580116,0.030679681,XSummerTemp
Chibougamau,Prov6930,FallTemp,-7.38E-05,0.001082962,96,-0.06811479,0.945835927,XFallTemp
Chibougamau,Prov6930,prevSummerSMI,-0.001724574,0.000461281,96,-3.738665058,0.000314477,XprevSummerSMI
Chibougamau,Prov6930,prevFallSMI,0.000463872,0.001366426,96,0.339478655,0.734990723,XprevFallSMI
Chibougamau,Prov6930,Snowfall,2.56E-05,2.30E-05,96,1.110050083,0.269750225,XSnowfall
Chibougamau,Prov6930,SpringSMI,-0.000486968,0.000389324,96,-1.250805374,0.214045399,XSpringSMI
Chibougamau,Prov6930,SummerSMI,-0.001158005,0.000554764,96,-2.087382749,0.03950247,XSummerSMI
Chibougamau,Prov6930,FallSMI,0.001729016,0.001179778,96,1.465543051,0.146040501,XFallSMI
Chibougamau,Prov6930,totalC:as.factor(Bloc)3,0.231821377,0.089562907,96,2.588363681,0.011140696,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6930,totalC:as.factor(Bloc)4,0.127913937,0.033629741,96,3.803595608,0.000250753,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6930,totalC:as.factor(Bloc)5,0.16694545,0.055599713,96,3.002631493,0.003412258,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6930,s(Year):as.factor(Bloc)3Fx1,0.51283696,0.211782061,96,2.421531634,0.017333535,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6930,s(Year):as.factor(Bloc)4Fx1,0.677410083,0.218395955,96,3.101751961,0.002526234,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6930,s(Year):as.factor(Bloc)5Fx1,0.559721416,0.209313929,96,2.674076303,0.008808318,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6938,(Intercept),0.307604749,0.175553869,96,1.752195788,0.082933202,X(Intercept)
Chibougamau,Prov6938,prevSummerTemp,-8.19E-05,0.001387559,96,-0.059043777,0.953039974,XprevSummerTemp
Chibougamau,Prov6938,prevFallTemp,-0.000109938,0.000885379,96,-0.12417034,0.90144003,XprevFallTemp
Chibougamau,Prov6938,WinterTemp,0.001742168,0.000583282,96,2.986838416,0.003577497,XWinterTemp
Chibougamau,Prov6938,SpringTemp,-3.26E-05,0.00068602,96,-0.047590873,0.962141172,XSpringTemp
Chibougamau,Prov6938,SummerTemp,0.003623168,0.001328544,96,2.727172191,0.007595494,XSummerTemp
Chibougamau,Prov6938,FallTemp,0.000129636,0.00093258,96,0.139007858,0.889735134,XFallTemp
Chibougamau,Prov6938,prevSummerSMI,-0.000739615,0.00040106,96,-1.844149121,0.068245558,XprevSummerSMI
Chibougamau,Prov6938,prevFallSMI,-0.002683372,0.001184553,96,-2.265304284,0.025741576,XprevFallSMI
Chibougamau,Prov6938,Snowfall,4.58E-05,2.04E-05,96,2.251256879,0.026649768,XSnowfall
Chibougamau,Prov6938,SpringSMI,-0.000480178,0.000343519,96,-1.397820584,0.165388571,XSpringSMI
Chibougamau,Prov6938,SummerSMI,0.001217694,0.000479908,96,2.537347799,0.012780468,XSummerSMI
Chibougamau,Prov6938,FallSMI,-0.001378367,0.00102101,96,-1.350003293,0.180189409,XFallSMI
Chibougamau,Prov6938,totalC:as.factor(Bloc)3,0.090410083,0.031548146,96,2.8657812,0.005111434,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6938,totalC:as.factor(Bloc)4,0.099830295,0.045287163,96,2.204383935,0.029886648,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6938,totalC:as.factor(Bloc)5,0.106276685,0.055135234,96,1.927563867,0.056865335,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6938,s(Year):as.factor(Bloc)3Fx1,0.390835338,0.186035998,96,2.100858657,0.038273552,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6938,s(Year):as.factor(Bloc)4Fx1,0.341757347,0.185304671,96,1.844299687,0.068223416,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6938,s(Year):as.factor(Bloc)5Fx1,0.30868885,0.180546352,96,1.709748473,0.090542871,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6965,(Intercept),0.047364925,0.224162121,96,0.211297629,0.833102938,X(Intercept)
Chibougamau,Prov6965,prevSummerTemp,-0.001297592,0.001744126,96,-0.743978298,0.458706735,XprevSummerTemp
Chibougamau,Prov6965,prevFallTemp,-0.000492421,0.001167173,96,-0.421891631,0.674047396,XprevFallTemp
Chibougamau,Prov6965,WinterTemp,0.000943162,0.000704788,96,1.338219787,0.183985852,XWinterTemp
Chibougamau,Prov6965,SpringTemp,-0.00044444,0.000844107,96,-0.526520829,0.599740805,XSpringTemp
Chibougamau,Prov6965,SummerTemp,0.004049852,0.001668028,96,2.427927909,0.017048615,XSummerTemp
Chibougamau,Prov6965,FallTemp,-0.000271705,0.001208525,96,-0.224823574,0.822594381,XFallTemp
Chibougamau,Prov6965,prevSummerSMI,-0.000925163,0.000493524,96,-1.874606344,0.063887239,XprevSummerSMI
Chibougamau,Prov6965,prevFallSMI,-0.001365012,0.00145826,96,-0.936055201,0.351593547,XprevFallSMI
Chibougamau,Prov6965,Snowfall,3.01E-05,2.39E-05,96,1.257392084,0.211662007,XSnowfall
