Common garden,resp,iG,nX,edf,Ref.df,F,pValue,rn,var,R2,aic,bloc,i0,ii,selected.i0,re.sel,R2.inc
Mont-Laurier,FallSMI,1,1,1.908222721,2.418026521,3.620456591,0.03439896,s(sf5),sf5,0.154979925,135.2440061,1,0,8,1,0,0.154979925
Mont-Laurier,FallTemp,1,1,1.634323654,2.041391788,4.310850622,0.018633508,s(sf4),sf4,0.167106948,103.503988,1,0,6,1,0,0.167106948
Mont-Laurier,Snowfall,1,1,1.000405749,1.000811393,5.796605368,0.020659594,s(sf5),sf5,0.104803213,97.92500921,1,0,8,1,0,0.104803213
Mont-Laurier,SpringSMI,1,1,1.000192219,1.000384414,6.737114177,0.01305166,s(sf5),sf5,0.122791359,99.31276996,1,2,0,1,0,0.122791359
Mont-Laurier,SpringSMI,1,2,1.000048078,1.000090953,4.62043646,0.038382116,s(sf4),sf4,0.351994602,92.55814558,1,3,6,1,0,0.229203243
Mont-Laurier,SpringTemp,1,1,1.000075269,1.000150533,4.48547812,0.040322705,s(sf3),sf3,0.078369938,119.6986793,1,0,5,1,0,0.078369938
Mont-Laurier,SummerSMI,1,1,1.000352955,1.00070583,7.143881579,0.01074708,s(sf5),sf5,0.130399993,140.5947207,1,0,8,1,0,0.130399993
Mont-Laurier,prevFallSMI,1,1,1.94096602,2.45957456,4.660646595,0.012162374,s(sf5),sf5,0.205509204,126.9278632,1,0,8,1,0,0.205509204
Mont-Laurier,prevFallTemp,1,1,1.721114078,2.157879572,7.994711664,0.000881287,s(sf4),sf4,0.292442688,111.4032463,1,0,6,1,0,0.292442688
Mont-Laurier,prevSummerSMI,1,1,2.383713209,3.004796666,3.688795508,0.019527896,s(GDD5p),GDD5p,0.201151105,136.4405692,1,0,7,1,0,0.201151105
Mont-Laurier,prevSummerSMI,1,2,1.000201362,1.000398241,4.922260771,0.032508779,s(Geno_CENTRE.p),Geno_CENTRE.p,0.272532448,133.4076421,1,1,1,1,0,0.071381343
Mont-Laurier,prevSummerTemp,1,1,1.000112217,1.000224425,6.198105407,0.016944189,s(MAPp),MAPp,0.112550803,124.1376683,1,0,2,1,0,0.112550803
Mont-Laurier,prevSummerTemp,1,2,1.000047055,1.000094107,6.708781371,0.013329243,s(sf1),sf1,0.223403246,119.4701745,1,1,2,1,0,0.110852444
Chibougamau,FallSMI,1,1,2.470097373,3.083934085,3.907625037,0.014129295,s(MAPp),MAPp,0.210072735,126.6744996,1,0,2,1,0,0.210072735
Chibougamau,FallTemp,1,1,3.134357719,3.907478092,4.010167402,0.008132522,s(GDD5p),GDD5p,0.253547682,121.2430933,1,0,6,1,0,0.253547682
Chibougamau,Snowfall,1,1,2.159937822,2.703910774,15.9146553,7.97E-07,s(MAPp),MAPp,0.488681194,115.347328,1,0,2,1,0,0.488681194
Chibougamau,Snowfall,1,2,3.982091653,4.842585724,3.340757243,0.014145954,s(sf2),sf2,0.62770742,106.3707599,1,1,3,1,0,0.139026226
Chibougamau,SpringSMI,1,1,1.896958736,2.377260191,6.633329977,0.001974469,s(MAPp),MAPp,0.255191621,126.0001309,1,0,2,1,0,0.255191621
Chibougamau,SpringSMI,1,2,5.76522386,6.780164961,2.579499846,0.025490504,s(sf4),sf4,0.481794617,117.0813955,1,1,6,1,0,0.226602996
Chibougamau,SpringTemp,1,1,2.247359795,2.84884522,3.692838917,0.018139187,s(sf5),sf5,0.186119365,111.6754343,1,0,8,1,0,0.186119365
Chibougamau,SpringTemp,1,2,1.000038152,1.000076304,8.654583529,0.00523075,s(MAPp),MAPp,0.245976487,106.8061273,1,1,2,1,0,0.059857122
Chibougamau,SummerSMI,1,1,3.214279573,3.976620166,5.398071266,0.001402627,s(MAPp),MAPp,0.31738758,130.1804616,1,0,2,1,0,0.31738758
Chibougamau,SummerTemp,1,1,1.866364235,2.28511747,4.933333858,0.008190032,s(sf3),sf3,0.198035036,101.9519022,1,0,5,1,0,0.198035036
Chibougamau,SummerTemp,1,2,1.000075051,1.000149162,4.481213415,0.040157459,s(sf1),sf1,0.233388035,99.83980414,1,1,3,1,0,0.035352999
Chibougamau,WinterTemp,1,1,2.909672289,3.615508404,4.17307221,0.007475082,s(MAPp),MAPp,0.247473366,118.2885883,1,0,2,1,0,0.247473366
Chibougamau,prevFallTemp,1,1,1.000058187,1.000116373,11.03476956,0.001795116,s(MAPp),MAPp,0.185731524,115.3628198,1,0,2,1,0,0.185731524
Chibougamau,prevFallTemp,1,2,2.259075867,2.883507019,3.238527977,0.040640621,s(GDD5p),GDD5p,0.317370369,111.4634136,1,1,5,1,0,0.131638845
Chibougamau,prevSummerSMI,1,1,2.465892448,3.110111367,3.104016404,0.034968334,s(sf5),sf5,0.167123096,100.4736042,1,0,8,1,0,0.167123096
